key,en,de
"common.skipToContent","Skip to content","Zum Inhalt springen"
"common.openMenu","Open menu","Menü öffnen"
"common.closeMenu","Close menu","Menü schließen"
"nav.home","Home","Startseite"
"nav.about","About","Über uns"
"nav.history","History","Geschichte"
"nav.subscribe","Subscribe","Abonnieren"
"nav.myOrders","My Orders","Meine Bestellungen"
"nav.orderNow","Order Now","Jetzt bestellen"
"footer.tagline","Authentic Kacchi & Borhani — {{location}}","Authentische Kacchi & Borhani — {{location}}"
"footer.location","Berlin, Germany","Berlin, Deutschland"
"footer.rights","All rights reserved","Alle Rechte vorbehalten"
"footer.whatsapp","WhatsApp us","Per WhatsApp schreiben"
"footer.berlin","Berlin","Berlin"
"footer.privacy","Privacy Policy","Datenschutzerklärung"
"social.instagram","Follow on Instagram","Auf Instagram folgen"
"social.facebook","Like on Facebook","Auf Facebook liken"
"hero.locationBadge","Berlin, Germany · Cooked Fresh Every Saturday","Berlin, Deutschland · Jeden Samstag frisch gekocht"
"hero.titleLine1","The Kacchi","Das Kacchi,"
"hero.titleEm","Berlin Deserves","das Berlin verdient"
"hero.paragraph","Not a fusion. Not an imitation. The real thing — slow-cooked, sealed in dum, fragrant with saffron and generations of tradition. Prepared by a Bangladeshi doctor who couldn't find it in Berlin, so she made it herself.","Keine Fusion. Keine Imitation. Das Original — langsam gegart, im Dum-Topf versiegelt, mit dem Duft von Safran und Generationen von Tradition. Zubereitet von einer bangladeschischen Ärztin, die es in Berlin nicht finden konnte — also hat sie es selbst gekocht."
"hero.weeklyTag","Every Saturday · Order by Friday 6pm","Jeden Samstag · Bestellung bis Freitag 18 Uhr"
"hero.orderNow","Order Now","Jetzt bestellen"
"hero.ourStory","Our Story","Unsere Geschichte"
"banner.berlin","Berlin, Germany","Berlin, Deutschland"
"banner.halal","100% Halal & Fresh","100% Halal & Frisch"
"banner.cooked","Cooked Every Saturday","Jeden Samstag frisch gekocht"
"banner.madeToOrder","Made to Order","Auf Bestellung zubereitet"
"product.sectionEyebrow","What We Serve in Berlin","Was wir in Berlin servieren"
"product.sectionTitleLine1","Two dishes.","Zwei Gerichte."
"product.sectionTitleEm","Both legendary.","Beide legendär."
"product.kacchi.label","Signature Dish","Signature-Gericht"
"product.kacchi.name","Kacchi","Kacchi"
"product.kacchi.emphasis","Biriyani","Biriyani"
"product.kacchi.subtitle","dum-sealed · slow-cooked · old Dhaka recipe","im Dum-Topf versiegelt · langsam gegart · altes Dhaka-Rezept"
